"Full Name","Aadhaar Number","Date of Birth","Address"
"Omkaar Nagy","839836298173","24-11-1990","H.No. 780, Radhakrishnan Chowk, Dhanbad, Madhya Pradesh - 469626"
"Varsha Sarna","607665177985","17-04-1984","H.No. 34, Chaudhari Ganj, Indore, Jharkhand - 393972"
"Caleb Pingle","928051233867","27-01-1989","H.No. 33, Kadakia Street, Gaya, Haryana - 690797"
"Rachana Mallick","418780151945","18-04-2003","H.No. 145, Ratta Circle, Darbhanga, Delhi - 140183"
"Sanaya Ratti","254037760387","08-09-1985","H.No. 527, Mital Path, New Delhi, Punjab - 170349"
"Shivansh Bal","674621042376","18-06-1976","H.No. 453, Sura Ganj, West Delhi, Bihar - 193338"
"Bakhshi Amble","157043961058","18-03-1983","H.No. 636, Kakar Nagar, Kanpur, West Bengal - 243621"
"Logan Ahuja","626942989178","08-01-2000","H.No. 188, Ben Circle, Lucknow, Rajasthan - 889078"
"Vihaan Konda","920269697230","26-06-1972","H.No. 650, Kumar Circle, Durgapur, Jharkhand - 521875"
"Chandresh Nanda","122428243527","30-01-1967","H.No. 882, Ravel Marg, Darbhanga, Rajasthan - 254754"
"Samuel Mangat","884377879008","09-09-1964","H.No. 579, Pai Nagar, Ranchi, Uttar Pradesh - 756451"
"Indrajit Dasgupta","133121560760","28-11-1982","H.No. 708, Bora Ganj, Varanasi, Bihar - 247278"
"Reyansh Karpe","123130866767","27-01-2001","H.No. 869, Bala Path, North Delhi, Bihar - 182561"
"Andrew Choudhury","156840652761","08-11-2004","H.No. 724, Jayaraman Nagar, Udaipur, Punjab - 210992"
"Urvashi Gade","857881697806","12-11-1989","H.No. 621, Prasad, Asansol, Uttar Pradesh - 294099"
"Samuel Gour","595013901304","14-06-2003","H.No. 873, Sundaram, Dhanbad, Uttar Pradesh - 631521"
"Fariq Varkey","957815220359","12-07-1997","H.No. 767, Hayer Chowk, Ludhiana, Haryana - 593801"
"Jason Sastry","510010901943","24-03-1972","H.No. 264, Bhavsar Nagar, Faridabad, Bihar - 349140"
"Gavin Bhasin","678846643991","23-11-2004","H.No. 486, Issac Ganj, Ambala, Delhi - 302768"
"Urvi Grewal","843874592978","03-03-1980","H.No. 321, Loke Road, Muzaffarpur, Haryana - 381934"
"Saumya Ravel","716625447162","12-09-1965","H.No. 892, Patel Ganj, Meerut, West Bengal - 396198"
"Tamanna Misra","523184076895","24-03-1986","H.No. 590, Shanker Street, Jamshedpur, West Bengal - 701187"
"Omisha Pathak","219739949077","23-08-1997","H.No. 54, Chandran Marg, Ajmer, Uttar Pradesh - 785037"
"Vasana Menon","693883932420","27-05-1966","H.No. 355, Kari Marg, Bhopal, Jharkhand - 200651"
"Ekansh Issac","949686289803","28-09-1984","H.No. 85, Ghosh Marg, Kanpur, Uttar Pradesh - 460583"
"Andrew Sanghvi","727617104955","30-06-1984","H.No. 774, Boase Marg, South Delhi, Delhi - 366747"
"Vedant Sama","875028189043","17-05-1965","H.No. 686, Ratta Street, Varanasi, Delhi - 524311"
"Timothy Dhar","520893290866","18-04-1967","H.No. 324, Guha Ganj, South Delhi, West Bengal - 253983"
"Mohammed Kaur","159854154840","06-03-1982","H.No. 386, Reddy Path, Hazaribagh, Punjab - 286899"
"Xiti Bhargava","669043480290","24-02-1966","H.No. 760, Sharma Street, Jaipur, Madhya Pradesh - 439004"
"Neelima Das","189361680426","15-03-1997","H.No. 965, Mutti, Gaya, Jharkhand - 813434"
"Janya Mani","907487155222","24-11-1997","H.No. 981, Mall Zila, Meerut, Madhya Pradesh - 237550"
"Dhriti Khare","530061070409","26-12-1990","H.No. 313, Menon Path, Jamshedpur, Rajasthan - 139732"
"Krishna Bhavsar","464824958895","07-07-2003","H.No. 900, Contractor Nagar, Siliguri, Madhya Pradesh - 946513"
"Bina Mishra","449456320927","25-04-1980","H.No. 399, Oza Road, Asansol, Delhi - 950019"
"Praneel Raja","803506847429","24-02-1966","H.No. 366, Batra Nagar, Bathinda, Delhi - 680203"
"Ayush Sur","390048966796","19-11-1980","H.No. 799, Guha Ganj, Bathinda, Bihar - 594939"
"Pahal Toor","787173564145","01-03-1965","H.No. 156, Gopal Marg, Varanasi, West Bengal - 370067"
"Bhavani Gala","799081296740","20-04-1976","H.No. 84, Bose Circle, Kota, Uttar Pradesh - 721731"
"Tanvi Sodhi","707498222769","13-10-2004","H.No. 545, Deshmukh Circle, Bathinda, Jharkhand - 860220"
"Aadi Kamdar","802953787887","13-05-1992","H.No. 488, Parikh Circle, Varanasi, Uttar Pradesh - 528142"
"Imaran Badami","140432466039","10-11-1978","H.No. 864, Thaker Circle, Kota, Uttar Pradesh - 229292"
"Dakshesh Balasubramanian","880947071680","14-04-1988","H.No. 214, Swaminathan Nagar, Gurgaon, Bihar - 882315"
"Sathvik Sagar","764639721858","21-09-1987","H.No. 666, Butala Path, Ludhiana, Bihar - 799749"
"Jagat Kaur","128194759550","29-04-1996","H.No. 82, Sheth Road, Lucknow, Haryana - 546212"
"Saksham Batra","166622857567","08-05-1985","H.No. 868, Nagar Marg, Jalandhar, Madhya Pradesh - 114662"
"Neha Nadkarni","307500556023","07-08-1983","H.No. 634, Divan Zila, Durgapur, West Bengal - 902351"
"Omaja Kapadia","705202186403","29-06-1973","H.No. 600, Basak Path, West Delhi, Bihar - 848843"
"Ekalinga Natarajan","997469846831","25-02-1981","H.No. 479, Swaminathan, Kolkata, Madhya Pradesh - 353846"
"Damyanti Aggarwal","835062685186","25-08-1999","H.No. 683, Vora, Jabalpur, Uttar Pradesh - 163949"
"Umang Suri","254761533073","21-09-2001","H.No. 572, Maharaj Path, Rohtak, Haryana - 660649"
"Gabriel Tella","508927841358","24-06-1984","H.No. 596, Sethi Nagar, Indore, Haryana - 458495"
"Leena Hayre","536662425509","18-04-1979","H.No. 919, Pillay Path, Hazaribagh, Rajasthan - 572906"
"Chaitanya Chowdhury","715036559951","16-08-1974","H.No. 68, Rajagopalan Zila, Ajmer, Bihar - 996069"
"Vasana Dube","663592802692","28-04-1999","H.No. 82, Bhatia Nagar, South Delhi, Jharkhand - 218509"
"Girindra Narayan","340296218740","30-11-1983","H.No. 47, Padmanabhan Nagar, Muzaffarpur, Jharkhand - 709277"
"Caleb Krish","860607189921","24-03-2001","H.No. 444, Sama Nagar, Bhagalpur, Jharkhand - 852100"
"Gauri Bhasin","128113110688","22-04-1985","H.No. 859, Garde Street, Kolkata, Punjab - 624350"
"Chaaya Kota","289121893508","25-09-1976","H.No. 314, Nazareth Chowk, Bhopal, Punjab - 495952"
"Jai Ganesh","138761192860","27-04-1971","H.No. 448, Koshy Circle, Jabalpur, West Bengal - 164276"
"Rohan Srivastava","167768796811","30-04-1994","H.No. 862, Majumdar Path, Hazaribagh, Rajasthan - 370457"
"Advaith Virk","657313944980","15-11-1988","H.No. 336, Saran Circle, Chandigarh, Jharkhand - 698121"
"Upadhriti Jani","372675679004","30-10-1971","H.No. 872, Arya Nagar, Jaipur, Uttar Pradesh - 387236"
"Omkaar Bhatti","934385992528","10-04-1998","H.No. 545, Pradhan, South Delhi, Madhya Pradesh - 421795"
"Reva Kalita","594293814025","06-07-1969","H.No. 356, Mani Circle, Gurgaon, Bihar - 633708"
"Kabir Bains","557966555593","27-05-2004","H.No. 688, Jhaveri Zila, Gurgaon, Haryana - 477623"
"Oviya Seshadri","557282343476","22-09-1967","H.No. 662, Sandhu Zila, Ujjain, Rajasthan - 459493"
"Bhavini Grover","918939825005","13-07-1978","H.No. 743, Ramakrishnan Chowk, Kolkata, Uttar Pradesh - 656773"
"Bhavika Palla","843532936337","06-04-1997","H.No. 439, Brahmbhatt Nagar, East Delhi, Jharkhand - 557972"
"Darpan Bala","367775845966","10-03-1994","H.No. 418, Sethi Nagar, Faridabad, West Bengal - 741348"
"Veda Chaudry","859562897505","10-02-1977","H.No. 998, Tiwari Ganj, Jaipur, Delhi - 131336"
"Ekavir Pai","757197529095","22-06-1979","H.No. 381, Sathe Road, Dhanbad, West Bengal - 818400"
"Balveer Aurora","280882950208","24-05-1983","H.No. 17, Kalita Chowk, New Delhi, Haryana - 127595"
"Thomas Dada","596815439861","09-11-1992","H.No. 759, Rattan Zila, East Delhi, Uttar Pradesh - 544104"
"Amruta Brahmbhatt","492958011893","16-05-1992","H.No. 458, Hayer, Muzaffarpur, Bihar - 495625"
"Chasmum Ramachandran","812214209371","07-01-1994","H.No. 939, Dada Chowk, Jaipur, Jharkhand - 785769"
"Ikbal Misra","614088182592","26-06-1984","H.No. 586, Hora Circle, Varanasi, Jharkhand - 443268"
"Saksham Thaman","451522006680","07-08-2005","H.No. 916, Sheth Circle, Muzaffarpur, West Bengal - 931135"
"Adweta Gulati","537797772343","19-09-1975","H.No. 339, Contractor Zila, Kanpur, Uttar Pradesh - 322588"
"Lajita Setty","145285488515","26-01-1990","H.No. 864, Savant Ganj, Patna, Haryana - 612175"
"Devika Pandey","830478458142","10-07-1992","H.No. 685, Pillay Path, Faridabad, Uttar Pradesh - 550897"
"Kavya Thaker","299869223488","01-04-1972","H.No. 818, Uppal Street, Siliguri, Rajasthan - 239482"
"Chanchal Bhasin","169495168033","01-11-1999","H.No. 184, Dugar Chowk, Darbhanga, Madhya Pradesh - 180397"
"Prisha Agate","794337104910","13-08-1993","H.No. 695, Kota Path, Dhanbad, Uttar Pradesh - 685062"
"Daksh Khurana","841272904993","29-04-1989","H.No. 8, Sridhar Street, Gaya, Madhya Pradesh - 925560"
"Oscar Prakash","468611578484","07-11-2006","H.No. 394, Joshi Circle, Jamshedpur, West Bengal - 762849"
